name,description,price,location,url
Your Shape Fitness Evolved Xbox 360 (000300248244) G,"Item Details  Item Number: 000300248244
Model Name: Xbox 360
Brand: Microsoft
Title: Your Shape Fitness Evolved
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available ",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/your-shape-fitness-evolved-xbox-360-000300248244-g/1311325340
Space Hulk: Vengeance of the Blood Angels - Sega Saturn CiB 1994,"For sale is Space Hulk: Vengeance of the Blood Angels - Sega Saturn CiB in perfect condition along with instruction manual...highly collectable edition...1994
Payment is by Bank Transfer and postage is by Australia Post Registered Mail with tracking number for $12.00",$90,"Kawungan, QLD< 1914 km",https://www.gumtree.com.au/s-ad/kawungan/video-games/space-hulk-vengeance-of-the-blood-angels-sega-saturn-cib-1994/1311325324
Tekken 6 Xbox 360 (000300248235) G Microsoft Game Disc,"Item Details  Item Number: 000300248235
Model Name: Xbox 360
Brand: Microsoft
Title: Tekken 6
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before coming. Th",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/tekken-6-xbox-360-000300248235-g-microsoft-game-disc/1311325288
Minecraft Legend for Switch ,"Only $55, like a new one, pick up from Doncaster",$55,"Doncaster, VIC< 1754 km",https://www.gumtree.com.au/s-ad/doncaster/video-games/minecraft-legend-for-switch-/1311325230
Your Shape Fitness Evolved Xbox 360 (000300248244) G,"Item Details  Item Number: 000300248244
Model Name: Xbox 360
Brand: Microsoft
Title: Your Shape Fitness Evolved
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available ",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/your-shape-fitness-evolved-xbox-360-000300248244-g/1311325340
Space Hulk: Vengeance of the Blood Angels - Sega Saturn CiB 1994,"For sale is Space Hulk: Vengeance of the Blood Angels - Sega Saturn CiB in perfect condition along with instruction manual...highly collectable edition...1994
Payment is by Bank Transfer and postage is by Australia Post Registered Mail with tracking number for $12.00",$90,"Kawungan, QLD< 1914 km",https://www.gumtree.com.au/s-ad/kawungan/video-games/space-hulk-vengeance-of-the-blood-angels-sega-saturn-cib-1994/1311325324
Tekken 6 Xbox 360 (000300248235) G Microsoft Game Disc,"Item Details  Item Number: 000300248235
Model Name: Xbox 360
Brand: Microsoft
Title: Tekken 6
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before coming. Th",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/tekken-6-xbox-360-000300248235-g-microsoft-game-disc/1311325288
Minecraft Legend for Switch ,"Only $55, like a new one, pick up from Doncaster",$55,"Doncaster, VIC< 1754 km",https://www.gumtree.com.au/s-ad/doncaster/video-games/minecraft-legend-for-switch-/1311325230
FIFA 12 Xbox 360 (000300248231) G Microsoft Game Disc,"Item Details  Item Number: 000300248231
Model Name: Xbox 360
Brand: Microsoft
Title: FIFA 12
Colour: N/A
Rating: G   This item is pick up only due to weight or size.
Pay online and pick up in your spare time or come into store for purchase.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before coming. This ",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/fifa-12-xbox-360-000300248231-g-microsoft-game-disc/1311325226
Dance Central Xbox 360 (000300248242) PG Microsoft Game Disc,"Item Details  Item Number: 000300248242
Model Name: Xbox 360
Brand: Microsoft
Title: Dance Central
Colour: N/A
Rating: PG   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before comin",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/dance-central-xbox-360-000300248242-pg-microsoft-game-disc/1311325173
PlayStation 4 for Sale ,"PS4 Slim 500 GB with one controller and x3 games for sale. PlayStation was hardly ever used. Games pictured in the ad. Pick up only in
East Gosford 2250
CASH ONLY",$180,"East Gosford, NSW< 1925 km",https://www.gumtree.com.au/s-ad/east-gosford/playstation/playstation-4-for-sale-/1311325144
Lego dimensions for xbox one,"Hundreds spent
Child no longer plays with it
Most parts there
Can reinstall the little character discs
Too many to name, most of them built could be missing some small peices.
Pick up stratton",$250,"Stratton, WA< 1876 km",https://www.gumtree.com.au/s-ad/stratton/xbox/lego-dimensions-for-xbox-one/1311325124
Mass Effects Collectors Edition Xbox 360 (000300248227) MA15 ,"Item Details  Item Number: 000300248227
Model Name: Xbox 360
Brand: Microsoft
Colour: N/A
Rating: MA15
Title: Mass Effects Collectors Edition   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still av",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/video-games/mass-effects-collectors-edition-xbox-360-000300248227-ma15-/1311325117
PS4 PRO | 1 terabyte | 4 Games | 1 Controller | Plus Accessories |,"Sony PlayStation 4 Ps4 Pro Matte Black Console 1TB With 4 Games and 1 Controller. Console and controllers are in fantastic working condition with all necessary cables. 4 games in original cases and in great condition including: - Monster Hunter
- 2K20 [New and still in packaging]
- Horizon Zero Dawn
- Terraria Pickup from Randwick or can post at buyers expense. Thanks!",$350,"Randwick, NSW< 1937 km",https://www.gumtree.com.au/s-ad/randwick/playstation/ps4-pro-1-terabyte-4-games-1-controller-plus-accessories-/1311325084
Playstation 4 (PS4) Slim 500gb + remote + 19 games + cables *REDUCED*,"PS4 Slim 500gb with one genuine controller. Excellent condition! Bundled with 19 games including titles such as Just Cause 4, No Man's Sky and The Crew 2 (see pictures for complete list) and a PS4 remote. Cables are also included so you just need to plug it in and start gaming!",$200,"Duncraig, WA< 1899 km",https://www.gumtree.com.au/s-ad/duncraig/playstation/playstation-4-ps4-slim-500gb-remote-19-games-cables-reduced-/1311325092
PlayStation 1 console ,Playstation 1 coneole for sale. In great condition. Comes with all cords and 1 original dualshock controller which is in great condition. $110 Pick up coburg 3058,$110,"Coburg North, VIC< 1740 km",https://www.gumtree.com.au/s-ad/coburg-north/playstation/playstation-1-console-/1311325057
Steelseries Arctis Pro   GameDac,"Brand new, thought this was the wireless version, used for 10 minutes",$250,"Slacks Creek, QLD< 1942 km",https://www.gumtree.com.au/s-ad/slacks-creek/console-accessories/steelseries-arctis-pro-gamedac/1311324791
Mass Effect 3 Xbox 360 (000300248229) MA15  Microsoft Game Disc,"Item Details  Item Number: 000300248229
Model Name: Xbox 360
Brand: Microsoft
Title: Mass Effect 3
Colour: N/A
Rating: MA15   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before com",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/video-games/mass-effect-3-xbox-360-000300248229-ma15-microsoft-game-disc/1311324792
"Xbox one- working perfectly, controller and games included ","Xbox one- used
- in perfect condition, kept well.
- comes with 2 games-forza 2 and minecraft
- one controller also included
- all wires working",$250,"Ormond, VIC< 1759 km",https://www.gumtree.com.au/s-ad/ormond/xbox/xbox-one-working-perfectly-controller-and-games-included-/1311324649
Star wars squadrons for Xbox One and Xbox series x,Star wars squadrons game for Xbox One and Xbox series x,$10,"Northgate, QLD< 1934 km",https://www.gumtree.com.au/s-ad/northgate/xbox/star-wars-squadrons-for-xbox-one-and-xbox-series-x/1311324619
Sega Superstars Tennis Xbox 360 (000300248237) G Microsoft Game,"Item Details  Item Number: 000300248237
Model Name: Xbox 360
Brand: Microsoft
Title: Sega Superstars Tennis
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available befo",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/sega-superstars-tennis-xbox-360-000300248237-g-microsoft-game/1311324523
Fable 3 Xbox 360 (000300248230) MA15  Microsoft Game Disc,"Item Details  Item Number: 000300248230
Model Name: Xbox 360
Brand: Microsoft
Title: Fable 3
Colour: N/A
Rating: MA15   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before coming. ",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/video-games/fable-3-xbox-360-000300248230-ma15-microsoft-game-disc/1311324444
Watch dogs 2 for Xbox One ,"Watch dogs 2 for Xbox One
Xbox One game.",$10,"Northgate, QLD< 1934 km",https://www.gumtree.com.au/s-ad/northgate/xbox/watch-dogs-2-for-xbox-one-/1311324395
Playstation 3 with games,"Playstation 3 only used a few times
Comes with 12 games, 2 controllers, controller charger, console, and power cable",$110,"Yarra Glen, VIC< 1758 km",https://www.gumtree.com.au/s-ad/yarra-glen/playstation/playstation-3-with-games/1311324357
Kinnect Adventures Xbox 360 (000300248233) PG Microsoft Game Disc,"Item Details  Item Number: 000300248233
Model Name: Xbox 360
Brand: Microsoft
Title: Kinnect Adventures
Colour: N/A
Rating: PG   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before ",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/kinnect-adventures-xbox-360-000300248233-pg-microsoft-game-disc/1311324350
Ufc 2009 Xbox 360 (000300248234) MA15  Microsoft Game Disc,"Item Details  Item Number: 000300248234
Model Name: Xbox 360
Brand: Microsoft
Title: Ufc 2009
Colour: N/A
Rating: MA15   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before coming.
",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/video-games/ufc-2009-xbox-360-000300248234-ma15-microsoft-game-disc/1311324245
Xbox Series X gaming system,"For sale is my Xbox series X. Is in perfect working order, cables, controller and box all inc.",$480,"Brassall, QLD< 1902 km",https://www.gumtree.com.au/s-ad/brassall/xbox/xbox-series-x-gaming-system/1311324229
Xbox 360,Xbox 360 no longer getting used open for offers comes with game & controller,$150,"Heatley, QLD< 1490 km",https://www.gumtree.com.au/s-ad/heatley/xbox/xbox-360/1311324204
